id,stoi,pesq,si_sdr,snr,mse,mae
199,0.7696027755737305,1.1678165197372437,-1.3203465938568115,-1.7342113256454468,0.0007932613953016698,0.009854000993072987
200,0.9413518309593201,2.593461036682129,4.544185638427734,-2.688441276550293,0.003899348434060812,0.02430717833340168
201,0.9309801459312439,1.5085949897766113,0.9024596214294434,-1.0418314933776855,0.0009439526475034654,0.00872454047203064
202,0.7926324009895325,1.1133921146392822,-1.6689753532409668,-2.0614805221557617,0.00047083329991437495,0.00654455553740263
203,0.948525071144104,2.087371826171875,1.6536359786987305,-2.0902397632598877,0.0008067666785791516,0.008610009215772152
204,0.9599792957305908,2.8669052124023438,3.3111276626586914,-0.9722546339035034,0.0010721356375142932,0.009731393307447433
205,0.9541663527488708,2.6833243370056152,2.544985771179199,-1.3857300281524658,0.0008846373530104756,0.00883273035287857
206,0.8777931332588196,1.6887791156768799,3.7899370193481445,-2.535740852355957,0.0006055289995856583,0.007372189313173294
207,0.9033790230751038,1.6717112064361572,5.393585681915283,-0.8911004662513733,0.0021918201819062233,0.014842284843325615
208,0.9682576656341553,3.3579304218292236,6.351858615875244,-1.307159662246704,0.0026830006390810013,0.0177642572671175
209,0.8981202244758606,1.5609722137451172,1.640907645225525,-2.547778606414795,0.0009600049816071987,0.010856918059289455
210,0.9567479491233826,1.8051162958145142,0.7370027303695679,-1.9979774951934814,0.0004725529288407415,0.007146515883505344
211,0.861481249332428,1.9666904211044312,3.9513206481933594,-1.642042636871338,0.0010980346705764532,0.00995775405317545
212,0.8202599287033081,1.3312599658966064,-2.2981953620910645,-5.787475109100342,0.0006168841500766575,0.007860365323722363
213,0.6849203705787659,1.2554187774658203,1.0734241008758545,-3.432922840118408,0.0011920700781047344,0.012413560412824154
214,0.8876165747642517,1.2202023267745972,-1.980751633644104,-1.1493126153945923,0.0012250739382579923,0.011106839403510094
215,0.9037987589836121,1.4354653358459473,4.464603424072266,-0.19817817211151123,0.0021812731865793467,0.013789365068078041
216,0.8104473352432251,1.156954288482666,-0.4614138603210449,0.1886676549911499,0.0012529812520369887,0.012036521919071674
217,0.8600286841392517,1.7868313789367676,0.027223585173487663,-2.439688205718994,0.0006329355528578162,0.0080619091168046
218,0.8833586573600769,1.5795655250549316,2.8216867446899414,-2.1769795417785645,0.0004946226254105568,0.005869321990758181
219,0.7035908102989197,1.0823190212249756,-2.4897890090942383,-1.0894807577133179,0.0005614619585685432,0.008403202518820763
220,0.9326636791229248,2.164592742919922,-1.6063469648361206,-3.205512046813965,0.0010209929896518588,0.0101191196590662
221,0.9368076920509338,2.4186882972717285,4.381478786468506,-1.3988683223724365,0.002959929406642914,0.017816640436649323
222,0.9516751170158386,2.442869186401367,1.6057548522949219,-4.2457404136657715,0.0012218496995046735,0.010709202848374844
223,0.9352339506149292,1.5294287204742432,3.1201565265655518,-2.7937211990356445,0.0008312690770253539,0.00885896198451519
224,0.8938643932342529,1.372963547706604,1.3919063806533813,-3.645439386367798,0.001667394652031362,0.013681994751095772
225,0.7174660563468933,1.0774738788604736,-2.070580005645752,0.6381283402442932,0.001014643581584096,0.009953821077942848
226,0.8594940900802612,1.528181552886963,-1.6354948282241821,-2.242828369140625,0.0007231392664834857,0.008482357487082481
227,0.957584798336029,2.443336009979248,3.899441719055176,-4.936672210693359,0.003052106127142906,0.017363378778100014
228,0.8112816214561462,1.1138397455215454,-3.973489999771118,-3.385810613632202,0.0004057008191011846,0.006184406112879515
229,0.9196286201477051,1.8542864322662354,1.2097138166427612,-1.98398756980896,0.0008574342937208712,0.009388469159603119
230,0.7985500693321228,1.1633058786392212,-0.043839231133461,-1.4603826999664307,0.0007928360719233751,0.009333739057183266
231,0.8957226872444153,1.2837426662445068,-0.26312243938446045,-4.283844947814941,0.0011968436883762479,0.010955987498164177
232,0.9220569133758545,2.0546047687530518,3.553086280822754,-3.525912046432495,0.0005910270847380161,0.006619371008127928
233,0.9283038377761841,2.169464111328125,0.9807313084602356,-1.4791055917739868,0.0011799965286627412,0.011167369782924652
234,0.8001570701599121,1.219348430633545,-0.08981002122163773,-1.9834485054016113,0.0005035975482314825,0.007012200076133013
235,0.8621625304222107,1.1791902780532837,-0.7541351914405823,-0.8709014654159546,0.0012029510689899325,0.011397911235690117
236,0.7921713590621948,1.307633638381958,-2.7875044345855713,-6.547356605529785,0.004302080720663071,0.02598225697875023
237,0.9579829573631287,2.1671972274780273,5.619032859802246,-1.7111104726791382,0.0007761305896565318,0.007983705028891563
238,0.941107451915741,2.4979779720306396,2.487358570098877,0.09037105739116669,0.001367770484648645,0.011276157572865486
239,0.8373409509658813,1.304064154624939,-2.027641534805298,-2.2977747917175293,0.001074154395610094,0.010346486233174801
240,0.827946126461029,1.481759786605835,0.618065357208252,-0.6473913192749023,0.0010266349418088794,0.009946093894541264
241,0.9434365630149841,1.6502522230148315,0.9206902384757996,-2.693512439727783,0.0012750602327287197,0.010927158407866955
242,0.9014273285865784,1.6560099124908447,3.4427871704101562,-2.7910752296447754,0.000866313639562577,0.009036141447722912
243,0.4731247127056122,1.0542032718658447,-5.363144874572754,-1.9163190126419067,0.0004405264335218817,0.006464933045208454
244,0.9448868632316589,2.3480379581451416,3.605739116668701,-1.2771457433700562,0.0030296684708446264,0.018058696761727333
245,0.7042232155799866,1.1703847646713257,-1.0985586643218994,-3.3380281925201416,0.0008106636814773083,0.010996311902999878
246,0.8298786878585815,1.3035277128219604,-1.1156721115112305,-2.019559860229492,0.0008285715011879802,0.009257436729967594
247,0.7466873526573181,1.2305102348327637,-0.7984652519226074,-1.2707868814468384,0.000588509370572865,0.007237937767058611
248,0.9521231055259705,1.9782423973083496,0.5799265503883362,-1.9272096157073975,0.001076200744137168,0.008922228589653969
249,0.9491742849349976,1.694856882095337,3.1963276863098145,-2.3414359092712402,0.0019746560137718916,0.012754745781421661
250,0.9699190258979797,3.1482551097869873,2.4636974334716797,0.31872618198394775,0.0013065807288512588,0.01036491896957159
251,0.8900289535522461,1.619142770767212,4.23868465423584,-2.3504910469055176,0.0004633122880477458,0.006539672147482634
252,0.9176977872848511,1.9534363746643066,2.319509506225586,-1.087571144104004,0.001322121941484511,0.011524179950356483
253,0.9371975064277649,1.697590708732605,2.821241855621338,-2.7826409339904785,0.0011116632958874106,0.00943456869572401
